Node Number	Equivalent Elastic Strain (mm/mm)
1074	2,4009e-003
1075	2,4009e-003
1076	2,4013e-003
1077	2,3489e-003
1078	2,3487e-003
1079	2,3487e-003
1080	2,3489e-003
1081	2,2882e-003
1082	2,2881e-003
1083	2,2881e-003
1084	2,2882e-003
1085	2,2906e-003
1086	2,2906e-003
1087	2,2906e-003
1088	2,2906e-003
1089	2,3279e-003
1090	2,3276e-003
1091	2,3276e-003
1092	2,3279e-003
1093	2,3015e-003
1094	2,3013e-003
1095	2,3013e-003
1096	2,3015e-003
1097	3,0127e-003
1098	3,0095e-003
1099	3,0095e-003
1100	3,0127e-003
1101	3,0968e-003
1102	3,0931e-003
1103	3,0931e-003
1104	3,0968e-003
1105	2,8055e-003
1106	2,8033e-003
1107	2,8033e-003
1108	2,8055e-003
1109	2,5453e-003
1110	2,5443e-003
1111	2,5443e-003
1112	2,5453e-003
1113	2,628e-003
1114	2,6266e-003
1115	2,6266e-003
1116	2,628e-003
1117	2,4123e-003
1118	2,4117e-003
1119	2,4117e-003
1120	2,4123e-003
1121	2,4718e-003
1122	2,471e-003
1123	2,471e-003
1124	2,4718e-003
1125	2,3559e-003
1126	2,3555e-003
1127	2,3555e-003
1128	2,3559e-003
1129	2,3375e-003
1130	2,3372e-003
1131	2,3372e-003
1132	2,3375e-003
1133	2,4915e-003
1134	2,4904e-003
1135	2,4904e-003
1136	2,4915e-003
1137	2,4062e-003
1138	2,4055e-003
1139	2,4055e-003
1140	2,4062e-003
1141	2,5868e-003
1142	2,5853e-003
1143	2,5853e-003
1144	2,5868e-003
1145	2,5247e-003
1146	2,5235e-003
1147	2,5235e-003
1148	2,5247e-003
1149	2,3897e-003
1150	2,3891e-003
1151	2,3891e-003
1152	2,3897e-003
1153	2,4462e-003
1154	2,4454e-003
1155	2,4454e-003
1156	2,4462e-003
1157	2,3363e-003
1158	2,336e-003
1159	2,336e-003
1160	2,3363e-003
1161	2,3661e-003
1162	2,3657e-003
1163	2,3657e-003
1164	2,3661e-003
1165	2,3407e-003
1166	2,3404e-003
1167	2,3404e-003
1168	2,3407e-003
1169	2,4713e-003
1170	2,4706e-003
1171	2,4706e-003
1172	2,4713e-003
1173	2,6274e-003
1174	2,626e-003
1175	2,626e-003
1176	2,6274e-003
1177	3,3129e-003
1178	3,3079e-003
1179	3,3079e-003
1180	3,3129e-003
1181	3,3318e-003
1182	3,3267e-003
1183	3,3267e-003
1184	3,3318e-003
1185	2,3234e-003
1186	2,3231e-003
1187	2,3231e-003
1188	2,3234e-003
1189	2,3618e-003
1190	2,3613e-003
1191	2,3613e-003
1192	2,3618e-003
1193	2,3118e-003
1194	2,3115e-003
1195	2,3115e-003
1196	2,3118e-003
1197	2,3062e-003
1198	2,306e-003
1199	2,306e-003
1200	2,3062e-003
1201	2,3754e-003
1202	2,3749e-003
1203	2,3749e-003
1204	2,3754e-003
1205	2,335e-003
1206	2,3347e-003
1207	2,3347e-003
1208	2,335e-003
1209	2,4315e-003
1210	2,4308e-003
1211	2,4308e-003
1212	2,4315e-003
1213	2,6622e-003
1214	2,6607e-003
1215	2,6607e-003
1216	2,6622e-003
1217	2,8419e-003
1218	2,8396e-003
1219	2,8396e-003
1220	2,8419e-003
1221	2,7501e-003
1222	2,7482e-003
1223	2,7482e-003
1224	2,7501e-003
1225	3,2391e-003
1226	3,2346e-003
1227	3,2346e-003
1228	3,2391e-003
1229	3,2453e-003
1230	3,2405e-003
1231	3,2405e-003
1232	3,2453e-003
1233	3,1697e-003
1234	3,1656e-003
1235	3,1656e-003
1236	3,1697e-003
1237	3,1152e-003
1238	3,1115e-003
1239	3,1115e-003
1240	3,1152e-003
1241	3,1424e-003
1242	3,1386e-003
1243	3,1386e-003
1244	3,1424e-003
1245	3,1925e-003
1246	3,1882e-003
1247	3,1882e-003
1248	3,1925e-003
1249	3,2651e-003
1250	3,2604e-003
1251	3,2604e-003
1252	3,2651e-003
1253	3,2448e-003
1254	3,2399e-003
1255	3,2399e-003
1256	3,2448e-003
1257	3,1897e-003
1258	3,1854e-003
1259	3,1854e-003
1260	3,1897e-003
1261	3,3293e-003
1262	3,3241e-003
1263	3,3241e-003
1264	3,3293e-003
1265	3,4523e-003
1266	3,4461e-003
1267	3,4461e-003
1268	3,4523e-003
1269	3,5398e-003
1270	3,5329e-003
1271	3,5329e-003
1272	3,5398e-003
1273	3,5503e-003
1274	3,5433e-003
1275	3,5433e-003
1276	3,5503e-003
1277	2,7287e-003
1278	2,7267e-003
1279	2,7267e-003
1280	2,7287e-003
1281	3,1278e-003
1282	3,1243e-003
1283	3,1243e-003
1284	3,1278e-003
1285	3,3929e-003
1286	3,3873e-003
1287	3,3873e-003
1288	3,3929e-003
1289	2,6117e-003
1290	2,6103e-003
1291	2,6103e-003
1292	2,6117e-003
1293	3,1881e-003
1294	3,1837e-003
1295	3,1837e-003
1296	3,1881e-003
1297	3,3907e-003
1298	3,3851e-003
1299	3,3851e-003
1300	3,3907e-003
1301	3,0713e-003
1302	3,0675e-003
1303	3,0675e-003
1304	3,0713e-003
1305	3,5466e-003
