Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
2339	-17,3	22,078	-0,11647	17,18
2340	-16,792	23,017	-0,11647	17,432
2340	-16,792	23,017	-0,11647	17,432
2341	-16,281	23,961	-0,11647	17,767
2341	-16,281	23,961	-0,11647	17,767
2342	-15,769	24,91	-0,11647	18,181
2342	-15,769	24,91	-0,11647	18,181
2343	-15,257	25,862	-0,11647	18,677
2343	-15,257	25,862	-0,11647	18,677
2344	-14,742	26,818	-0,11647	19,253
2344	-14,742	26,818	-0,11647	19,253
2345	-14,229	27,777	-0,11647	19,907
2345	-14,229	27,777	-0,11647	19,907
2346	-13,717	28,736	-0,11647	20,641
2346	-13,717	28,736	-0,11647	20,641
2347	-13,205	29,694	-0,11647	21,456
2347	-13,205	29,694	-0,11647	21,456
2348	-12,191	31,62	-0,11647	23,347
2348	-12,191	31,62	-0,11647	23,347
2349	-11,678	32,583	-0,11647	24,437
2349	-11,678	32,583	-0,11647	24,437
2350	-11,162	33,548	-0,11647	25,644
2350	-11,162	33,548	-0,11647	25,644
2351	-10,628	34,531	-0,11647	26,994
2351	-10,628	34,531	-0,11647	26,994
2352	-10,097	35,508	-0,11647	28,496
2352	-10,097	35,508	-0,11647	28,496
2353	-9,5724	36,496	-0,11647	30,165
2353	-9,5724	36,496	-0,11647	30,165
2354	-9,0635	37,49	-0,11647	32,029
2354	-9,0635	37,49	-0,11647	32,029
2355	-8,5958	38,475	-0,11647	34,128
2355	-8,5958	38,475	-0,11647	34,128
2356	-8,1246	39,466	-0,11647	36,557
2356	-8,1246	39,466	-0,11647	36,557
2357	-7,6603	40,429	-0,11647	39,392
2357	-7,6603	40,429	-0,11647	39,392
2358	-7,1848	41,382	-0,11647	42,84
2358	-7,1848	41,382	-0,11647	42,84
2359	-7,05	-41,695	-0,11647	30,24
2359	-7,05	-41,695	-0,11647	30,24
2360	-4,6955	-40,343	-0,11647	47,042
2360	-4,6955	-40,343	-0,11647	47,042
2361	-3,2771	-39,224	-0,11647	54,302
2361	-3,2771	-39,224	-0,11647	54,302
2362	-1,1542	-37,549	-0,11647	52,61
2362	-1,1542	-37,549	-0,11647	52,61
2363	4,594	-39,943	-0,11647	47,179
2363	4,594	-39,943	-0,11647	47,179
